,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Gold,Silver,Bronze,Total,Sum
42,ERI,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
43,TAN,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
46,LBA,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
48,DJI,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
49,PLE,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
50,COM,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
52,BRU,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
54,KSA,3.1065371932625687e-06,0.0002539271602336831,1.4417224483360324e-05,8.686367755449989e-05,0.0,0.0,0.0,0.0,0.0
55,SYR,8.529874331971948e-08,2.5061462559654892e-05,0.00040481168597873143,0.00019684216523581708,0.0,0.0,0.0,0.0,0.0
56,MDV,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
58,UAE,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
61,SGP,0.0,0.0006905603691774402,0.0011525363167319532,0.0006036979960003131,0.0,0.0,0.0,1.0,0.0
66,CGO,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
69,MON,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
71,URU,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
73,SRI,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
75,CIV,1.7941081488392038e-08,1.154965637341097e-07,0.0007068762648452312,0.0002449637709837724,0.0,0.0,0.0,0.0,0.0
77,BEN,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
79,GHA,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
80,SOM,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
81,NIG,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
82,MLI,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
83,AFG,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
85,CRC,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
88,SLO,0.0005551904597081547,0.00025682951401750134,0.00044345261965049974,0.0003214853834524884,0.0,0.0,0.0,0.0,0.0
89,GUY,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
91,POR,0.0005857641476035523,0.0005132384016546199,0.00045482303369609895,0.00043351733173624423,0.0,0.0,0.0,0.0,0.0
92,PAR,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
93,ANG,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
94,VEN,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,1.1639544691480169e-05,0.0,0.0,0.0,0.0,0.0
96,BAN,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
97,PER,1.6788100594298684e-08,3.1336198240261624e-07,0.001483128785132958,0.0005462154494680087,0.0,0.0,0.0,1.0,0.0
98,ESA,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
99,PUR,6.566892001215817e-05,0.0005765087715195621,0.00033455360974496114,0.00039596979849822065,0.0,0.0,0.0,0.0,0.0
101,HON,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
103,TKM,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
104,MRI,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
105,SEY,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
106,LUX,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
107,MTN,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
108,SKN,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
109,TTO,0.0008803270482381955,0.0007326956036875784,0.000585311828981819,0.0006822994226049121,0.0,0.0,0.0,1.0,0.0
111,VIN,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
113,LBR,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
114,SUR,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
115,NEP,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
118,PLW,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
120,TOG,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
121,NAM,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
123,ISL,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
124,ASA,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
125,SAM,3.1065371932625687e-06,0.0005745121841840869,1.4417224483360324e-05,0.0001517382475095342,0.0,0.0,0.0,0.0,0.0
126,RWA,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
128,DMA,0.0011573261479271625,0.0006576956036875792,0.0004565610336695459,0.0007732100758117614,0.0,0.0,0.0,1.0,0.0
129,HAI,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
130,MLT,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
132,GUI,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
133,BIZ,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
134,YEM,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
136,BER,0.0012185875862670845,1.1294558413523144e-06,1.604983639119564e-06,0.0004027396756973574,0.0,0.0,0.0,0.0,0.0
137,SLE,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
138,PNG,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
139,OMA,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
141,VAN,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
142,MDA,0.0,0.0006549495172455747,0.0009504746551976286,0.0005569126532582669,0.0,0.0,0.0,1.0,0.0
143,BAH,0.0009615156746932024,0.00038139348527063097,0.0010789842591781287,0.0009275132375660053,0.0,0.0,0.0,1.0,0.0
145,LAT,0.00022816029692720874,6.096912437139284e-05,0.00019436866453462112,0.0001292491135660908,0.0,0.0,0.0,0.0,0.0
147,IVB,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
148,MOZ,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,1.0576447527048097e-05,0.0,0.0,0.0,0.0,0.0
149,ISV,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
150,CAF,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
151,MAD,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
152,BIH,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
153,GUM,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
154,CAY,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
156,BAR,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
157,GBS,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
158,TLS,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
159,COD,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
160,GAB,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
161,SMR,1.6339869281045753e-05,0.00021934385962428456,0.0003692484240588006,0.00017099070779542043,0.0,0.0,0.0,0.0,0.0
162,LAO,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
165,CAM,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
167,SOL,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
168,SEN,3.1065371932625687e-06,7.845517517425276e-06,1.4417224483360324e-05,9.035378024813669e-06,0.0,0.0,0.0,0.0,0.0
